"yyyy" "mm" "dd" "Duparquet" "Canpiapiscau" "Fermont" "Goose_Bay"
"1" 1951 1 1 -62.23 -61.94 NA NA
"2" 1951 1 2 -63.29 -65.94 -65.77 -59.25
"3" 1951 1 3 -66.77 -67.21 -68.85 -62.56
"4" 1951 1 4 -67.55 -66.6 -69.87 -72.04
"5" 1951 1 5 -67.51 -68.79 -69.05 -66.18
"6" 1951 1 6 -66.85 -67.58 -68.41 -62.86
"7" 1951 1 7 -66.66 -66.18 -67.77 -62.71
"8" 1951 1 8 -66.09 -65.75 -67.51 -62.69
"9" 1951 1 9 -65.59 -65.51 -67.06 -61.82
"10" 1951 1 10 -63.97 -65.28 -66.7 -61.58
"11" 1951 1 11 -62.84 -64.61 -65.12 -61.49
"12" 1951 1 12 -61.91 -63.97 -64.57 -61.44
"13" 1951 1 13 -61.75 -62.67 -64.05 -61.43
"14" 1951 1 14 -61.11 -59.38 -61.93 -61.37
"15" 1951 1 15 -57.64 -56.78 -59.46 -61.31
"16" 1951 1 16 -53.92 -55.41 -56.65 -58.66
"17" 1951 1 17 -52.27 -54.02 -55.11 -53.45
"18" 1951 1 18 -51.37 -51.44 -53.3 -52.81
"19" 1951 1 19 -50.74 -49.1 -51.67 -52.51
"20" 1951 1 20 -50.06 -48.6 -50.49 -52.26
"21" 1951 1 21 -48.39 -48.52 -50.28 -52.12
"22" 1951 1 22 -48.22 -48.48 -49.7 -46.69
"23" 1951 1 23 -47.73 -48.51 -49.66 -45.68
"24" 1951 1 24 -44.14 -48.41 -49.48 -45.66
"25" 1951 1 25 -42.55 -45.7 -47.89 -43.82
"26" 1951 1 26 -42.07 -43.45 -47.25 -43.06
"27" 1951 1 27 -41.95 -41.95 -46.29 -39.98
"28" 1951 1 28 -41.95 -40.48 -45.23 -37.61
"29" 1951 1 29 -41.93 -40.44 -45.12 -37.36
"30" 1951 1 30 -41.91 -40.47 -45.1 -37.36
"31" 1951 1 31 -41.91 -40.47 -45.09 -37.35
"32" 1951 2 1 -35.43 -32.6 -42.54 NA
"33" 1951 2 2 -35.56 -31.37 -37.94 -31.58
"34" 1951 2 3 -35.43 -34.23 -37.02 -27.97
"35" 1951 2 4 -34.93 -33.71 -36.25 -27.95
"36" 1951 2 5 -33.17 -34.13 -36.21 -27.97
"37" 1951 2 6 -32.21 -34.39 -35.08 -28.15
"38" 1951 2 7 -30.75 -34.49 -33.51 -28.12
"39" 1951 2 8 -30.77 -32.35 -27.19 -22.39
"40" 1951 2 9 -30.82 -32.3 -27.77 -13.64
"41" 1951 2 10 -30.81 -32.6 -28 -13.76
"42" 1951 2 11 -29.73 -32.81 -28.18 -13.84
"43" 1951 2 12 -29.52 -32.89 -28.23 -14.39
"44" 1951 2 13 -29.53 -32.84 -28.35 -15.17
"45" 1951 2 14 -29.53 -32.84 -28.37 -16
"46" 1951 2 15 -29.53 -32.86 -28.39 -16.02
"47" 1951 2 16 -29.51 -32.84 -28.42 -16.08
"48" 1951 2 17 -29.37 -32.74 -28.42 -16.18
"49" 1951 2 18 -28.48 -32.56 -28.37 -16.24
"50" 1951 2 19 -27.86 -32.43 -28.32 -16.25
"51" 1951 2 20 -26.49 -31.88 -28.13 -16.26
"52" 1951 2 21 -26.67 -31.77 -28.16 -16.27
"53" 1951 2 22 -26.37 -31.93 -28.18 -16.46
"54" 1951 2 23 -26.21 -31.81 -28.15 -16.75
"55" 1951 2 24 -26.2 -31.78 -28.13 -18.13
"56" 1951 2 25 -26.08 -31.75 -28.11 -17.78
"57" 1951 2 26 -25.69 -31.52 -28 -17.52
"58" 1951 2 27 -25.67 -31.48 -27.96 -17.7
"59" 1951 2 28 -25.71 -31.47 -27.96 -17.71
"60" 1951 3 1 -9.53 -27.6 -27.62 -21.94
"61" 1951 3 2 -26.32 -30.96 -29.46 -19.72
"62" 1951 3 3 -26.27 -31.24 -31.16 -21.4
"63" 1951 3 4 -20.36 -29.38 -27.49 -22.15
"64" 1951 3 5 -19.34 -22.88 -22.53 -21.35
"65" 1951 3 6 -19.33 -22.97 -23.08 -19.26
"66" 1951 3 7 -19.09 -23.07 -23.07 -18.93
"67" 1951 3 8 -19.01 -23.2 -22.71 -18.93
"68" 1951 3 9 -18.92 -23.11 -22.06 -18.99
"69" 1951 3 10 -18.95 -23.09 -22.1 -16.15
"70" 1951 3 11 -18.96 -23.09 -22.38 -14.47
"71" 1951 3 12 -18.9 -22.55 -22.25 -14.01
"72" 1951 3 13 -18.78 -22.21 -22.11 -13.77
"73" 1951 3 14 -18.72 -22.07 -21.96 -13.87
"74" 1951 3 15 -18.66 -22.06 -21.51 -13.92
"75" 1951 3 16 -18.21 -21.95 -21.12 -13.93
"76" 1951 3 17 -17.99 -21.54 -21.13 -13.93
"77" 1951 3 18 -17.94 -21.5 -21.14 -13.87
"78" 1951 3 19 -17.76 -21.49 -21.14 -13.89
"79" 1951 3 20 -17.2 -21.63 -21.28 -13.92
"80" 1951 3 21 -17.45 -22.38 -21.68 -14.41
"81" 1951 3 22 -17.59 -22.74 -22.1 -14.95
"82" 1951 3 23 -17.77 -23.19 -22.41 -14.96
"83" 1951 3 24 -17.83 -23.25 -22.45 -15.19
"84" 1951 3 25 -18.06 -23.2 -22.18 -15.12
"85" 1951 3 26 -18.08 -22.92 -21.85 -14.5
"86" 1951 3 27 -18.12 -23.07 -21.95 -14.52
"87" 1951 3 28 -18.04 -23.09 -21.97 -15.41
"88" 1951 3 29 -17.68 -23.09 -21.95 -16.47
"89" 1951 3 30 -16.57 -22.97 -21.88 -16.2
"90" 1951 3 31 -15.5 -22.28 -21.3 -16
"91" 1951 4 1 -17.53 -18.35 -13.43 -11.66
"92" 1951 4 2 -16.38 -18.04 -12.31 -14.64
"93" 1951 4 3 -17.94 -16.8 -12.78 -15.32
"94" 1951 4 4 -19.03 -17.89 -16.11 -15.93
