yr	Caniapiscau_d18Otrc	Fermont_d18Otrc	Goose_Bay_d18Otrc
1950	21.5	22.2	24
1951	21.3	22.5	24.8
1952	22.1	24.1	24.1
1953	22.2	23	23.6
1954	24.3	23.1	23.9
1955	24.1	25.1	24.9
1956	21.2	21.3	23
1957	22.4	23.5	23.3
1958	20.5	22.2	23.2
1959	22.5	24.4	24.2
1960	20.2	22.8	24.7
1961	22	22.8	23.2
1962	24	23.2	24.4
1963	22.8	23.4	23.2
1964	23	23.7	23.4
1965	20.7	22.6	23.5
1966	20.2	22.8	24.1
1967	22	23.9	24.5
1968	21	23	23.1
1969	21.6	23.4	23.4
1970	22.3	23.8	25.5
1971	20.5	22.5	23.6
1972	21.7	24	23.8
1973	22.3	23.2	24.8
1974	22.6	23.7	25.1
1975	23.8	24.6	25.2
1976	23.1	24.9	25.7
1977	21.2	22.1	23.3
1978	21.1	23.5	24.3
1979	22.1	23.4	25.4
1980	20.7	20.8	22.8
1981	23.2	24	24.8
1982	22.3	21.8	22.8
1983	22.8	23.6	25.4
1984	21.7	22	24.6
1985	22.1	21.9	23.2
1986	21.5	22.7	24.7
1987	21.1	23	24.2
1988	22.2	22.5	25
1989	21.7	24.2	24.3
1990	22.9	22.7	23.4
1991	22.8	24.2	23.4
1992	22.1	23.5	24.7
1993	23.1	23.8	24.7
1994	21.5	23.2	24.9
1995	23.8	24.1	23.2
1996	22.5	22.4	24.5
1997	22.3	21.9	24.6
1998	22.9	23.2	24.5
1999	22.4	23.7	24.7
2000	24	23.3	23.6
2001	23.3	24.5	24.8
2002	22.3	23.7	24.2
2003	22.1	22.5	23.4
2004	21.7	22.9	24.8
2005	23.7	25	24.2
2006	21.5	24.2	26.2
2007	20.4	23.1	23
2008	21.1	22.2	24.6
2009	21.1	22.2	24.5
2010	21.3	22.3	23.3
2011	22.6	22.5	25.7
2012	22.1	23.2	25.8
2013	20.9	23	25.2
