YR	DOY	GB	FER	CAN
2023	70	0.169	0.026	0
2023	85	0.101	0.053	0.041
2023	100	0.131	0.038	0.015
2023	115	0.135	0.023	0.083
2023	130	0.258	0.176	0.173
2023	145	0.253	0.239	0.158
2023	160	0.26	0.253	0.238
2023	180	0.275	0.26	0.253
2022	70	0.101	0.049	0.011
2022	85	0.09	0.026	0.038
2022	100	0.083	0.015	0.038
2022	115	0.123	0.015	0.038
2022	130	0.156	0.09	0.025
2022	145	0.208	0.215	0.238
2022	160	0.198	0.215	0.238
2022	180	0.215	0.208	0.315
2021	70	0.071	0.038	0.049
2021	85	0.064	0.049	0.049
2021	100	0.0924	0.098	0.049
2021	115	0.153	0.098	0.049
2021	130	0.155	0.128	0.173
2021	145	0.198	0.215	0.238
2021	160	0.198	0.215	0.238
2021	180	0.29	0.275	0.253
2020	70	0.071	0.06	0.015
2020	85	0.079	0.045	0.034
2020	100	0.079	0.045	0.034
2020	115	0.109	0.071	0.034
2020	130	0.199	0.1	0.034
2020	145	0.128	0.124	0.128
2020	160	0.208	0.26	0.208
2020	180	0.32	0.35	0.29
2019	70	0.06	0.019	0.049
2019	85	0.079	0.056	0.045
2019	100	0.071	0.023	0.026
2019	115	0.109	0.023	0.015
2019	130	0.151	0.126	0.056
2019	145	0.1	0.109	0.198
2019	160	0.208	0.253	0.29
2019	180	0.215	0.29	0.328
2018	70	0.083	0.079	0.019
2018	85	0.053	0.038	0.023
2018	100	0.053	0.038	0.023
2018	115	0.1071	0.023	0.056
2018	130	0.151	0.15	0.056
2018	145	0.124	0.198	0.068
2018	160	0.124	0.198	0.068
2018	180	0.275	0.23	0.275
2017	70	0.109	0.038	0.09
2017	85	0.135	0.056	0.053
2017	100	0.09	0.056	0.06
2017	115	0.1083	0.075	0.064
2017	130	0.131	0.198	0.27
2017	145	0.101	0.191	0.26
2017	160	0.305	0.23	0.26
2017	180	0.275	0.253	0.373
2016	70	0.083	0.079	0.064
2016	85	0.079	0.079	0.064
2016	100	0.056	0.038	0.045
2016	115	0.109	0.083	0.041
2016	130	0.166	0.101	0.056
2016	145	0.128	0.208	0.243
2016	160	0.153	0.238	0.253
2016	180	0.253	0.275	0.29
2015	70	0.083	0.079	0.045
2015	85	0.079	0.056	0.068
2015	100	0.071	0.053	0.045
2015	115	0.1056	0.09	0.064
2015	130	0.198	0.135	0.098
2015	145	0.101	0.198	0.131
2015	160	0.153	0.173	0.131
2015	180	0.26	0.238	0.335
2014	70	0.079	0.053	0.026
2014	85	0.079	0.053	0.026
2014	100	0.071	0.109	0.059
2014	115	0.1071	0.075	0.059
2014	130	0.101	0.098	0.064
2014	145	0.124	0.221	0.253
2014	160	0.124	0.221	0.253
2014	180	0.253	0.18	0.253
2013	70	0.09	0.064	0.06
2013	85	0.098	0.038	0.049
2013	100	0.098	0.038	0.049
2013	115	0.128	0.081	0.053
2013	130	0.176	0.146	0.09
2013	145	0.208	0.238	0.275
2013	160	0.198	0.238	0.275
2013	180	0.29	0.198	0.305
2012	70	0.109	0.026	0.079
2012	85	0.109	0.026	0.079
2012	100	0.064	0.026	0.053
2012	115	0.164	0.026	0.053
2012	130	0.135	0.109	0.026
2012	145	0.253	0.191	0.275
2012	160	0.26	0.191	0.253
2012	180	0.358	0.335	0.313
2011	70	0.109	0.015	0.023
